"ns" "is" "http://example.com/MealCourse/30#"
"wine_name" "has_value" "Rosé d'Anjou"
"wine_type" "has_value" "Rosé"
"wine_region" "has_value" "France"
"wine_alcohol" "has_value" "12"
"wine_tastes" "has_value" "Fruity"
"wine_tastes" "has_value" "Sweet"
"dish_name" "has_value" "Ratatouille"
"dish_tastes" "has_value" "Herbaceous"
"dish_main_ingredient" "has_value" "Eggplant"
"dish_main_ingredient" "has_value" "zucchini"
"dish_main_ingredient" "has_value" "bell peppers"
"dish_main_ingredient" "has_value" "tomatoes"
"dish_main_ingredient" "has_value" "onions"
"dish_side" "has_value" "Quinoa"
"MealCourse" "has_attribute" "wine_section"
"has_attribute" "of_type" "http://www.w3.org/TR/2004/REC-owl-guide-20040210/wine#hasDrink"
"wine_section" "has_attribute" "wine_name"
"has_attribute" "of_type" "http://www.w3.org/2000/01/rdf-schema#Property"
"wine_section" "has_attribute" "wine_type"
"has_attribute" "of_type" "http://www.w3.org/2000/01/rdf-schema#Property"
"wine_section" "has_attribute" "wine_region"
"has_attribute" "of_type" "http://www.w3.org/TR/2004/REC-owl-guide-20040210/wine#locatedIn"
"wine_section" "has_attribute" "wine_alcohol"
"has_attribute" "of_type" "http://www.w3.org/2000/01/rdf-schema#Property"
"wine_section" "has_attribute" "wine_tastes"
"has_attribute" "of_type" "http://www.w3.org/2000/01/rdf-schema#Property"
"MealCourse" "has_attribute" "dish_section"
"has_attribute" "of_type" "http://www.w3.org/TR/2004/REC-owl-guide-20040210/wine#hasFood"
"dish_section" "has_attribute" "dish_name"
"has_attribute" "of_type" "http://www.w3.org/2000/01/rdf-schema#Property"
"dish_section" "has_attribute" "dish_tastes"
"has_attribute" "of_type" "http://www.w3.org/2000/01/rdf-schema#Property"
"dish_section" "has_attribute" "dish_main_ingredient"
"has_attribute" "of_type" "http://www.w3.org/2000/01/rdf-schema#Property"
"dish_section" "has_attribute" "dish_side"
"has_attribute" "of_type" "http://www.w3.org/2000/01/rdf-schema#Property"
"wine_section" "of_type" "http://www.w3.org/TR/2004/REC-owl-guide-20040210/wine#Wine"
"wine_name" "of_type" "http://www.w3.org/2001/XMLSchema#string"
"wine_type" "of_type" "http://www.w3.org/2001/XMLSchema#string"
"wine_region" "of_type" "http://www.w3.org/TR/2004/REC-owl-guide-20040210/wine#Region"
"wine_alcohol" "of_type" "http://www.w3.org/2001/XMLSchema#decimal"
"wine_tastes" "of_type" "http://www.w3.org/TR/2004/REC-owl-guide-20040210/wine#WineTaste"
"dish_section" "of_type" "http://www.w3.org/TR/2004/REC-owl-guide-20040210/wine#Meal"
"dish_name" "of_type" "http://www.w3.org/2001/XMLSchema#string"
"dish_tastes" "of_type" "http://www.w3.org/2001/XMLSchema#string"
"dish_main_ingredient" "of_type" "http://www.w3.org/TR/2004/REC-owl-guide-20040210/wine#EdibleThing"
"dish_side" "of_type" "http://www.w3.org/TR/2004/REC-owl-guide-20040210/wine#EdibleThing"
"MealCourse" "of_type" "http://www.w3.org/TR/2004/REC-owl-guide-20040210/wine#MealCourse"
